,0
spotify:artist:6XyY86QOPPrYVGvF9ch6wz,"Linkin Park,85"
spotify:artist:05fG473iIaoy82BF1aGhL8,"Slipknot,80"
spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,"Foo Fighters,78"
spotify:artist:6deZN1bslXzeGvOLaLMOIF,"Nickelback,77"
spotify:artist:5t28BP42x2axFnqOOMg3CM,"Five Finger Death Punch,80"
spotify:artist:0nmQIMXWTXfhgOBdNzhGOs,"Avenged Sevenfold,77"
spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,"Disturbed,77"
spotify:artist:5eAWCfyUhZtHHtBdNk56l1,"System Of A Down,79"
spotify:artist:5nGIFgo0shDenQYSE0Sn7c,"Evanescence,72"
spotify:artist:70BYFdaZbEKbeauJ670ysI,"Shinedown,74"
spotify:artist:0X380XXQSNBYuleKzav5UO,"Nine Inch Nails,67"
spotify:artist:14pVkFUHDL207LzLHtSA18,"Pantera,70"
spotify:artist:3JFsVIxOn7STeilPICkkB2,"Lamb of God,66"
spotify:artist:5PokPZn11xzZXyXSfnvIM3,"Lifehouse,67"
spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,"Audioslave,70"
spotify:artist:6TZdvF1kFzwnQLgHQynzsO,"Alien Ant Farm,60"
spotify:artist:3dXaa6jwM7B52GZpaJEIr5,"Puddle Of Mudd,65"
spotify:artist:6nDLku5uL3ou60kvCGZorh,"Bloodhound Gang,63"
spotify:artist:1Yox196W7bzVNZI7RBaPnf,"Megadeth,70"
spotify:artist:0XHiH53dHrvbwfjYM7en7I,"Chris Cornell,63"
spotify:artist:1AZ30JnvQU1pbX6sbRE0Yn,"Poets of the Fall,54"
spotify:artist:78SHxLdtysAXgywQ4vE0Oa,"Bush,64"
spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf,"Static-X,60"
spotify:artist:1pRaG81GsVtaTBuVSpldt2,"Pop Evil,61"
spotify:artist:4IliztYDlfMvzQzbx50o60,"Flyleaf,59"
spotify:artist:7qAcXJgt1PWnxwUgxMdyuk,"Sick Puppies,59"
spotify:artist:4X42BfuhWCAZ2swiVze9O0,"Steven Wilson,55"
spotify:artist:4PoYwGOztIrPpBfRIlMSxP,"Soil,54"
spotify:artist:6eoJpTIlcuxJNjV5fDzDJH,"Live,62"
spotify:artist:3886aFez2HDLkio5tUzmP6,"Sixx:A.M.,56"
spotify:artist:2AVVj8ezW2mJ0v8u7XydiF,"Saving Abel,56"
spotify:artist:4ijGLY4dzlurDh7jqH3tW7,"36 Crazyfists,46"
spotify:artist:1xUhNgw4eJDZfvumIpcz1B,"Children Of Bodom,58"
spotify:artist:0iHb0mCbqZTYeb4y9Pirrd,"Temple Of The Dog,57"
spotify:artist:35Uu85Pq33mK8x1jYqsHY2,"Sevendust,58"
spotify:artist:694QW15WkebjcrWgQHzRYF,"Everclear,60"
spotify:artist:4IR8ZkpbyyKrqsIzchF3NB,"Crossfade,57"
spotify:artist:3pigXV2QUatr3szcb3MacR,"Shaman's Harvest,53"
spotify:artist:34c4iQ5tkaZKu6Sv28BTde,"Danzig,58"
spotify:artist:0NTSMFFapnyZfvmCwzcYPd,"Cradle Of Filth,54"
spotify:artist:4whxX965DKKqYkXmk33b4E,"Guano Apes,53"
spotify:artist:3Ukr3Ufjg8ygRJv7Ww887f,"Screaming Trees,48"
spotify:artist:2kfVqdz3lJshqH9GUHhtMr,"Psychostick,47"
spotify:artist:0AZ3VR0YbFcS0Kgei7L2QF,"Russian Circles,48"
spotify:artist:1xJ6l1VXgGuyZ0uhu27caF,"Ill Niño,50"
spotify:artist:4Eqd24yS5YcxI8b6Xfuwr8,"Eve 6,55"
spotify:artist:7nCgNmfYJcsVy3vOOzExYS,"The Contortionist,49"
spotify:artist:0kO2SRhHlmMIeyJHfHy3c9,"Chimaira,46"
spotify:artist:1KEUVZo7CMTSJoM8doulOT,"Smile Empty Soul,52"
spotify:artist:6pDRa5fS3myWSP0fpIUcNl,"Evans Blue,53"
spotify:artist:3LJJl2ijoYLexGyX6jU9gl,"Breed 77,31"
spotify:artist:10aXVE8RSUCeMzaFvBnZ2i,"Pitchshifter,36"
spotify:artist:01JN808vH1vhH7O7IsyRgX,"Dry Kill Logic,42"
spotify:artist:1xE3snzm12GBK259IqEFlY,"Clawfinger,46"
spotify:artist:3sURANr03JD4V9tRA8fChy,"Roadrunner United,37"
spotify:artist:1GfzxrTlFX1DmRSVqMUvaD,"Fair To Midland,39"
spotify:artist:3jnoH2xrhvxUgeN2rrudHL,"Hurt,43"
spotify:artist:4hFScNSgSkApFw193xlyH7,"Flaw,46"
spotify:artist:5HUFo8AH9ZILmlyKFfEMNP,"Jerry Cantrell,44"
spotify:artist:6LG6fIvh2XpjqHUuR7NRtt,"Texas Hippie Coalition,45"
spotify:artist:5dw20y4c03uTJPC7rKoDtS,"Institute,31"
spotify:artist:25xjytYjVKPvHiDIgrFodf,"Future Leaders of the World,38"
spotify:artist:0YtH9hfWvKI1HxccKiiJQJ,"S.O.D.,37"
spotify:artist:56F64pmwSSCcmS1CxAnPk8,"Pro-Pain,37"
spotify:artist:0MLKfDfrr2LvUqZxBvYLTv,"Strata,32"
spotify:artist:7CptjEjYax5Dj92JxX7sav,"Wayne Static,34"
spotify:artist:7v4hyXy0IQiJaKeVTTQX1E,"Nothingface,34"
spotify:artist:4Bqt1X3kNYGUWtbs0fCKTB,"Stuck Mojo,32"
spotify:artist:2tQsX5dHCbKXavQ1le6dH5,"Course Of Nature,32"
spotify:artist:1XFVzEMC5dyIus9DaPpAdK,"Unloco,28"
spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,"The 1975,80"
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,"Red Hot Chili Peppers,84"
spotify:artist:6zlR5ttMfMNmwf2lecU9Cc,"Sam Fender,68"
spotify:artist:2xaAOVImG2O6lURwqperlD,"Catfish and the Bottlemen,69"
spotify:artist:6olE6TJLqED3rqDCT0FyPh,"Nirvana,80"
spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,"Radiohead,79"
spotify:artist:6Ad91Jof8Niiw0lGLLi3NW,"YUNGBLUD,75"
spotify:artist:1km0R7wy712AzLkA1WjKET,"Biffy Clyro,65"
spotify:artist:5SHxzwjek1Pipl1Yk11UHv,"Tom Grennan,64"
spotify:artist:432R46LaYsJZV2Gmc4jUV5,"Joy Division,67"
spotify:artist:2uH0RyPcX7fnCcT90HFDQX,"Manic Street Preachers,59"
spotify:artist:3xByNj8XW17oW0wsJhgzYL,"Slaves,61"
spotify:artist:7jdFEYD2LTYjfwxOdlVjmc,"KALEO,71"
spotify:artist:0vEsuISMWAKNctLlUAhSZC,"Counting Crows,69"
spotify:artist:6zvul52xwTWzilBZl6BUbT,"Pixies,69"
spotify:artist:36E7oYfz3LLRto6l2WmDcD,"Pulp,62"
spotify:artist:5Tf4EH8tDvznnjULcFxkIl,"Alex Clare,60"
spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,"The Smashing Pumpkins,72"
spotify:artist:4AzAfQNuAyKOFG4DZMsdAo,"The Snuts,53"
spotify:artist:7243txmysJ4KbRmH8UAMKO,"The Amazons,52"
spotify:artist:5ypxebeHEIXjMtJb17uJlI,"Jet,64"
spotify:artist:0ZxZlO7oWCSYMXhehpyMvE,"COIN,69"
spotify:artist:7sOR7gk6XUlGnxj3p9F54k,"half•alive,64"
spotify:artist:0wOej91SVqB1zcYkW6xUtA,"Pale Waves,53"
spotify:artist:3zunDAtRDg7kflREzWAhxl,"Eels,59"
spotify:artist:066X20Nz7iquqkkCW6Jxy6,"LCD Soundsystem,65"
spotify:artist:1aIozCeQrpKipbEdkGtr0j,"Paul Heaton,46"
spotify:artist:3yEnArbNHyTCwMRvD9SBy4,"Wolfmother,63"
spotify:artist:5xUf6j4upBrXZPg6AI4MRK,"Soundgarden,69"
spotify:artist:6GbCJZrI318Ybm8mY36Of5,"Faith No More,65"
spotify:artist:6d4jrmreCmsenscuieJERc,"The Band CAMINO,67"
spotify:artist:2DxlS3lTLFIq70S7ap5H3y,"Buzzcocks,55"
spotify:artist:4o0pNHbyj36LPvukNqEug0,"The Maine,61"
spotify:artist:5PbpKlxQE0Ktl5lcNABoFf,"Car Seat Headrest,61"
spotify:artist:3Wcyta3gkOdQ4TfY0WyZpu,"YONAKA,54"
spotify:artist:4wYzzR0lpEub1gUU8bbBTw,"BLOXX,47"
spotify:artist:0bZCak2tcRMY1dzEIuwF42,"The Heavy,60"
spotify:artist:1eIoJGCu3rShrRm2wfOhN8,"Saint Raymond,53"
spotify:artist:6TcnmlCSxihzWOQJ8k0rNS,"Third Eye Blind,67"
spotify:artist:4svozL97Y6aqWeZNJPqvsL,"Simple Creatures,53"
spotify:artist:3T55D3LMiygE9eSKFpiAye,"Badflower,60"
spotify:artist:5d1JhBfyb58upMXCZOdbQu,"Phil Wickham,66"
spotify:artist:6eJqAWJdd8JhAN1pQGie4r,"Casting Crowns,67"
spotify:artist:4WjeQi9wm84lYTIWZ95QoM,"Boston Manor,53"
spotify:artist:46xMgypLHP8GNsYME3vRnV,"The Forest Rangers,55"
spotify:artist:3lDpdwM8KILepMHqBWUhIA,"The Struts,59"
spotify:artist:5yXAFDZNUNyO92l5WTImkO,"Billy Bragg,56"
spotify:artist:5bmqhxWk9SEFDGIzWpSjVJ,"The Driver Era,58"
spotify:artist:356c8AN5YWKvz86B4Sb1yf,"Rival Sons,58"
spotify:artist:161AC1AVRkIGIMxyj5djFQ,"Clutch,58"
spotify:artist:6j1fmLreVuAay7k6Gudfa2,"Leeland,62"
spotify:artist:18H0sAptzdwid08XGg1Lcj,"Death From Above 1979,55"
spotify:artist:6WoTvA9qinpHtSRJuldYh6,"The Fall,49"
spotify:artist:7DRjM0vtwvKxZYnd9mPaP9,"Fatherson,41"
spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd,"Blind Melon,63"
spotify:artist:2qT62DYO8Ajb276vUJmvhz,"XTC,54"
spotify:artist:6EXjdbEiqhPzodtf7MtVos,"InMe,36"
spotify:artist:6lcwlkAjBPSKnFBZjjZFJs,"(Sandy) Alex G,58"
spotify:artist:5krkohEVJYw0qoB5VWwxaC,"The Black Crowes,62"
spotify:artist:7ITd48RbLVpUfheE7B86o2,"The Decemberists,59"
spotify:artist:6PFydyUHMKD2jm5NXzRPiK,"Mental As Anything,49"
spotify:artist:4BFMTELQyWJU1SwqcXMBm3,"The Stooges,56"
spotify:artist:7EFB09NxZrMi9pGlOnuBpd,"The Horrors,51"
spotify:artist:62sC6lUEWRjbFqXpMmOk4G,"Fugazi,55"
spotify:artist:4DUQBYAyOTZotSEdKhaf6c,"Basement,51"
spotify:artist:6yY9g2nwqyduN2RpxRHWdy,"Sunset Sons,41"
spotify:artist:1fpXM23IoNckJ7NDAm8YJQ,"Mark Lanegan,53"
spotify:artist:0UKfenbZb15sqhfPC6zbt3,"DEVO,58"
spotify:artist:1UfzhwcOR4yfX7yHTPfC9m,"Joywave,61"
spotify:artist:6S58b0fr8TkWrEHOH4tRVu,"Switchfoot,62"
spotify:artist:20bAxKr0YrCvceZeLqs37e,"Nomy,56"
spotify:artist:7zyObVag8rUjItn71SkIrh,"Survive Said The Prophet,56"
spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi,"Bauhaus,53"
spotify:artist:4Xxkt0tSJr1uNxGDZcJLRc,"VANT,40"
spotify:artist:5RTzLFUNaRULfg2DPh5DPO,"We Are The Ocean,36"
spotify:artist:4S1nvNHWiZLP4rzwmULmUa,"Big Data,54"
spotify:artist:7Hvq85OU8T7Hsd63zNBwaL,"black midi,46"
spotify:artist:71NBOcJ9lMeXqnbnya1z0x,"Himalayas,44"
spotify:artist:6DKmuXxXASTF6xaJwcTfjv,"Spiritualized,51"
spotify:artist:39xmI59WrIMyyJjSDq6WCu,"Crowder,61"
spotify:artist:76Se0uC5hM5u1R410UHAFp,"Black Peaks,35"
spotify:artist:6KNqvxgfYVRSzgAE1j2UT5,"Declan Welsh and The Decadent West,34"
spotify:artist:1GKYNY4rIPnOuTfC0J1IWw,"Audrey Assad,57"
spotify:artist:6iy8nrBbtL57i4eUttHTww,"The Good, the Bad & the Queen,43"
