,0
spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,"The 1975,80"
spotify:artist:35l9BRT7MXmM8bv2WDQiyB,"beabadoobee,81"
spotify:artist:02kJSzxNuaWGqwubyUba0Z,"G-Eazy,84"
spotify:artist:4Uc8Dsxct0oMqx0P6i60ea,"Conan Gray,79"
spotify:artist:1GLtl8uqKmnyCWxHmw9tL4,"The Kooks,70"
spotify:artist:6P5NO5hzJbuOqSdyPB7SJM,"Ashe,77"
spotify:artist:6sHCvZe1PHrOAuYlwTLNH4,"Gus Dapperton,77"
spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,"The Wombats,68"
spotify:artist:2hR4h1Cao2ueuI7Cx9c7V8,"Cavetown,74"
spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,"Clairo,78"
spotify:artist:3QaxveoTiMetZCMp1sftiu,"Waterparks,64"
spotify:artist:4W48hZAnAHVOC2c8WH8pcq,"The Temper Trap,63"
spotify:artist:6eJa3zG1QZLRB3xgRuyxbm,"Dayglow,68"
spotify:artist:3ajf12ub55b51qcS94d9Co,"Orla Gartland,56"
spotify:artist:7hOGhpa8RMSuDOWntGIAJt,"A R I Z O N A,69"
spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx,"Grouplove,70"
spotify:artist:6xrCU6zdcSTsG2hLrojpmI,"José González,67"
spotify:artist:3LjhVl7GzYsza1biQjTpaN,"Hayley Kiyoko,67"
spotify:artist:67hb7towEyKvt5Z8Bx306c,"Empire of the Sun,68"
spotify:artist:37uLId6Z5ZXCx19vuruvv5,"Hot Chip,62"
spotify:artist:6bh228LGC3eAzbplPWV02r,"Declan J Donovan,61"
spotify:artist:6fVcDUckTwxqg56qNsEvUr,"Frightened Rabbit,54"
spotify:artist:2ApaG60P4r0yhBoDCGD8YG,"Elliott Smith,63"
spotify:artist:56ZTgzPBDge0OvCGgMO3OY,"Beach House,67"
spotify:artist:1btWGBz4Uu1HozTwb2Lm8A,"Hippo Campus,67"
spotify:artist:0EgHhNmWcjusA7F2heSD0O,"Baxter Dury,53"
spotify:artist:50OApTJurDusIo9dGTqSU4,"Lilly Wood and The Prick,62"
spotify:artist:2uYWxilOVlUdk4oV9DvwqK,"Mitski,64"
spotify:artist:543ccHFPnZfJMD8tRGPtu7,"James Smith,63"
spotify:artist:0n94vC3S9c3mb2HyNAOcjg,"The Head and the Heart,70"
spotify:artist:7s3OoIocX1gTOnEvCg2VV8,"McCafferty,57"
spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,"Feist,62"
spotify:artist:2eam0iDomRHGBypaDQLwWI,"Bleachers,64"
spotify:artist:4OTFxPi5CtWyj1NThDe6z5,"Weathers,59"
spotify:artist:13VunSzrVSmJBpUWxUajJF,"Limbo,60"
spotify:artist:67WNUxmM7y4WzHPAVzBu3E,"The Regrettes,55"
spotify:artist:4hz8tIajF2INpgM0qzPJz2,"Rainbow Kitten Surprise,68"
spotify:artist:2sSGPbdZJkaSE2AbcGOACx,"The Marías,65"
spotify:artist:7H0Xu8hdP0tjpZ6z4dHquW,"Sofia Mills,58"
spotify:artist:7gAYvcQFmAruyvwGjxrSUr,"Absofacto,63"
spotify:artist:2WROyFfIOmKtRopsTrIL52,"Landon Austin,63"
spotify:artist:3hozsZ9hqNq7CoBGYNlFTz,"OK Go,57"
spotify:artist:41SQP16hv1TioVYqdckmxT,"Real Estate,62"
spotify:artist:6YxrfNCKBcQlbITpmDLErL,"Xuitcasecity,59"
spotify:artist:5Vu87j6vCvfwc7FNVGnBwk,"Justin Stone,61"
spotify:artist:470WlqN9HSRDGNaMufeHHF,"Imaginary Future,65"
spotify:artist:23NIwARd4vPbxt3wwNnJ6k,"Parquet Courts,57"
spotify:artist:7xEFii6utZmQ61kX59HmLH,"FRENSHIP,62"
spotify:artist:60NNvDqsif0u40CXMV6jDQ,"Ryan Beatty,60"
spotify:artist:5OyoCvyau6TiGqcCKnDBCR,"Ollie,58"
spotify:artist:0DxPHf2flBAcV2SnZPg3SV,"Jake Scott,65"
spotify:artist:2HSEdXKVq1WWtBbsIeNjRX,"The Frights,59"
spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL,"Fiona Apple,60"
spotify:artist:5vGXVYudNgm9E7jhXMM0Ro,"Kid Quill,58"
spotify:artist:5EM6xJN2QNk0cL7EEm9HR9,"Radical Face,57"
spotify:artist:1rCIEwPp5OnXW0ornlSsRl,"Metric,60"
spotify:artist:3hyGGjxu73JuzBa757H6R5,"The Mountain Goats,58"
spotify:artist:0ZUvK7zGdXLd78mQr3t1Tw,"Ricky Montgomery,54"
spotify:artist:7sgWBYtJpblXpJl2lU5WVs,"Electric Guest,61"
spotify:artist:5ivCbtrcD5N4rD337xIb2z,"MisterWives,60"
spotify:artist:38zTZcuN7nFvVJ6auhc6V3,"Deerhunter,57"
spotify:artist:6AGUQK1EWK6nvN4pLIDQDQ,"The Mowgli's,58"
spotify:artist:2i9uaNzfUtuApAjEf1omV8,"Wet,59"
spotify:artist:1vxsourLLLfobrxyWAcuQH,"Juniore,48"
spotify:artist:3UpIbyXfGzmHG6TMH4dJEk,"Aimee Mann,54"
spotify:artist:0szWPxzzE8DVEfXFRCLBUb,"flor,58"
spotify:artist:1ybAN3utgdoUL1MUCtH4QM,"Tennis,60"
spotify:artist:1wgY8huggK60P5nvYrwcYT,"Asher Roth,53"
spotify:artist:2SdK1QDmZIP2hk94rSaLl9,"TOPS,56"
spotify:artist:422RLznpwUa5FsQgnTlgUH,"Great Good Fine Ok,56"
spotify:artist:3LVPGE5jPPwtbGslx07YR0,"Kishi Bashi,55"
spotify:artist:0gOsZcHl7H3ewXVIEnWFZX,"Camille,53"
spotify:artist:195hFqaTDENqLCcG8uGtM7,"Freedom Fry,54"
spotify:artist:5kmPNusdo1mCTyz4u1uEGm,"Mountain Man,52"
spotify:artist:3WOOglGBDGvr6c2WBeMAWn,"Urban Cone,50"
spotify:artist:677sHrkjhB7IP4YwjzZyc4,"Last Dinosaurs,53"
spotify:artist:3CIRif6ZAedT7kZSPvj2A4,"She & Him,51"
spotify:artist:5juOkIIy18sFw9L30syt1Z,"Washed Out,58"
spotify:artist:1Li0eIWeMeWcOOWpImcG9H,"Albert Hammond, Jr.,53"
spotify:artist:6GH0NzpthMGxu1mcfAkOde,"Hellogoodbye,50"
spotify:artist:4ptJIIR10UVlGjN0VntFaK,"Day Wave,53"
spotify:artist:57MtJQ6Sc4tIxrXIhrqVJL,"Generationals,56"
spotify:artist:6Bllzm0olEwqGwPujaLiuA,"Arlie,51"
spotify:artist:22ojy4H4ZVpowC4lRRC8In,"Destroyer,55"
spotify:artist:6nXSnNEdLuKTzAQozRtqiI,"M. Ward,54"
spotify:artist:6qiGjRyN7TJ1GA2nXF68Hi,"Blind Pilot,54"
spotify:artist:2O2dI9lY9PnWtAa4OlrgMi,"Pell,55"
spotify:artist:56tbeL5xhBPxby544GuK3E,"Kevin Garrett,56"
spotify:artist:5lC7N2Mm9i92KSfW4opawO,"Ekoh,53"
spotify:artist:5MynxBz4ZMqvUzpcxTZl4C,"Therapie TAXI,64"
spotify:artist:6pwHWKweuoCyx3OoFaD0Q5,"The Weepies,50"
spotify:artist:2hazSY4Ef3aB9ATXW7F5w3,"IZAL,66"
spotify:artist:2YSzmcSn7vQaFiB2B5LpCB,"Evann McIntosh,52"
spotify:artist:39R87tT1qaTxHwu5m87USa,"EXES,53"
