,0
Arctic Monkeys,520117
beabadoobee,9458139
The 1975,66370
YUNGBLUD,8969499
Glass Animals,1406962
Two Door Cinema Club,804901
Foals,525043
Mura Masa,8054163
The Kooks,349047
Catfish and the Bottlemen,3347901
Sam Fender,6907314
The Wombats,470480
Gerry Cinnamon,7710984
Nothing But Thieves,4441173
Bombay Bicycle Club,578704
Declan McKenna,8488148
Blossoms,171022
Metronomy,16165
Royal Blood,1421389
Barns Courtney,8656934
Alex Turner,598169
Tom Grennan,8644689
The Japanese House,8552784
Circa Waves,7357394
Easy Life,8282533
Courteeners,14878
Jake Bugg,4172111
La Roux,2360099
The Last Shadow Puppets,2332472
Thom Yorke,220083
Miles Kane,3076541
Bakar,9381114
Slaves,22255
The Vaccines,1050976
Benjamin Francis Leftwich,3050976
Georgia,524189
The Hunna,8630654
Arlo Parks,9761949
IDLES,1352869
Jamie T,500419
Låpsley,8068588
Wolf Alice,4126816
Sea Girls,9133189
Franc Moody,9045059
Jade Bird,8484598
Rina Sawayama,9164924
No Rome,7479349
Jack Garratt,937546
Sundara Karma,5234928
DON BROCO,2360321
Fontaines D.C.,9231359
Shura,446174
The Maccabees,127582
Frank Carter & The Rattlesnakes,8494363
Everyone You Know,3627571
Everything Everything,1729573
Nilüfer Yanya,7346654
Twin Atlantic,595073
Vistas,8781684
YONAKA,8442128
Oscar Lang,10088802
SAINT PHNX,8898709
Bat For Lashes,130039
Boston Manor,3238801
Friendly Fires,65207
Inhaler,484476
KAWALA,489053
Moose Blood,6198974
Pale Waves,8363498
The Academic,5042043
The Snuts,9001789
Deaf Havana,973130
SOAK,380956
The Amazons,336430
The Big Moon,2362456
Basement,219964
Fickle Friends,6047779
Marika Hackman,5015008
The Magic Gang,7449559
IDER,8503468
Mystery Jets,385346
Dinosaur Pile-Up,8978269
The Night Café,8610209
The Pigeon Detectives,493197
Alfie Templeman,9197294
Gengahr,7835614
Dream State,8429143
Lower Than Atlantis,586979
RAT BOY,8418293
The Pale White,8844864
Colouring,8910329
BLOXX,8965104
HMLTD,8928359
Sports Team,7599019
Love Fame Tragedy,10039464
Ten Tonnes,8758234
black midi,9278794
Creeper,347098
Demob Happy,5802689
Peace,99412
APRE,9480894
Fat White Family,5685544
Los Campesinos!,369590
The Orielles,7579864
Bad Sounds,8345808
Larkins,110707
Mallory Knox,877317
The Sherlocks,1576734
Blaenavon,5045793
Mini Mansions,2391689
Sunflower Bean,7213264
Cassia,164645
Hak Baker,9049259
Squid,264535
The Mysterines,8803354
THE S.L.P.,10050983
JAWS,493207
Little Comets,2355447
Marsicans,4913483
Another Sky,9380054
Swim Deep,4045756
Pizzagirl,9307719
ALASKALASKA,8893224
VANT,8267068
whenyoung,8795759
Black Honey,8326538
Clean Cut Kid,6226364
Girl Band,580646
King No-One,6597989
The Blinders,1047583
Sophie and the Giants,9184524
Drenge,5390573
Nadine Shah,2648646
Willie J Healey,8488083
Brooke Bentham,7861004
Dream Wife,7831569
Dry Cleaning,9763674
Shopping,585122
FEET,351598
Otherkin,6512374
The Ninth Wave,5067778
Yak,408958
Connie Constance,8691284
Halloweens,10124602
Declan Welsh and The Decadent West,Not Found
Do Nothing,2398462
Penelope Isles,8657599
Working Men's Club,9083339
Badgirl$,9998839
Sfven,10104352
Anteros,8611289
LIFE,10073389
Lucia & The Best Boys,10087673
Superfood,6211714
The Dunts,9114114
The Wytches,6176504
Kid Kapichi,5760034
Lauran Hibberd,9125544
RALPH TV,9763059
Just Mustard,8634539
King Nun,8553454
Heavy Lungs,8742564
BlackWaters,3190946
Buzzard Buzzard Buzzard,9708824
Spyres,4835368
Catholic Action,8340953
Devon,42315
Indoor Pets,9306714
VALERAS,9040139
Swimming Girls,8600769
Egyptian Blue,8408138
Sinead O Brien,10061533
Chappaqua Wrestling,9385419
WOOZE,9278469
